Iterator:: 
T3:: remove: 0.048479676 , time: 0.018874368
T1:: insert: 0.062417984 , time: 0.018874368
T2:: insert: 0.08722174 , time: 0.018874368
T3:: remove: 0.08722174 , time: 0.019398656
T1:: insert: 0.39387804 , time: 0.019398656
T2:: insert: 0.5244882 , time: 0.019398656
T3:: remove: 0.6045552 , time: 0.019922944
T1:: insert: 0.70773053 , time: 0.019922944
T2:: insert: 0.14908475 , time: 0.019922944
T3:: remove: 0.08722174 , time: 0.020447232
T2:: insert: 0.6187797 , time: 0.02097152
T1:: insert: 0.41012543 , time: 0.020447232
Iterator:: 0.062417984 , 0.14908475 , 0.39387804 , 0.5244882 , 0.70773053
T2:: insert: 0.20783806 , time: 0.02097152
T3:: remove: 0.5244882 , time: 0.02097152
T1:: insert: 0.03174323 , time: 0.02097152
T2:: insert: 0.13544744 , time: 0.021495808
T3:: remove: 0.08722174 , time: 0.021495808
T1:: insert: 0.517144 , time: 0.022020096
T3:: remove: 0.46183944 , time: 0.022020096
T1:: insert: 0.92979777 , time: 0.022020096
T2:: insert: 0.73439944 , time: 0.022020096
T2:: insert: 0.24857175 , time: 0.022544384
T3:: remove: 0.24284434 , time: 0.022544384
T1:: insert: 0.8757983 , time: 0.022544384
T2:: insert: 0.40112948 , time: 0.023068672
T1:: insert: 0.5547912 , time: 0.023068672
T3:: remove: 0.7319048 , time: 0.023068672
T2:: insert: 0.51703525 , time: 0.023068672
T1:: insert: 0.77880436 , time: 0.02359296
T3:: remove: 0.6113495 , time: 0.02359296
Iterator:: 0.03174323 , 0.062417984 , 0.13544744 , 0.14908475 , 0.20783806 , 0.24857175 , 0.39387804 , 0.40112948 , 0.41012543 , 0.51703525 , 0.517144 , 0.5547912 , 0.6187797 , 0.70773053 , 0.73439944 , 0.77880436 , 0.8757983 , 0.92979777
T2:: insert: 0.43320882 , time: 0.02359296
T1:: insert: 0.9298485 , time: 0.02359296
T3:: remove: 0.72906584 , time: 0.02359296
T1:: insert: 0.453224 , time: 0.024117248
T2:: insert: 0.4176113 , time: 0.024117248
T3:: remove: 0.51703525 , time: 0.024117248
T1:: insert: 0.61949444 , time: 0.024117248
T2:: insert: 0.84066206 , time: 0.024641536
T3:: remove: 0.23379374 , time: 0.024641536
T2:: insert: 0.78259945 , time: 0.024641536
T1:: insert: 0.6445188 , time: 0.024641536
T3:: remove: 0.4487182 , time: 0.024641536
T1:: insert: 0.17915422 , time: 0.024641536
T2:: insert: 0.959445 , time: 0.024641536
T3:: remove: 0.5148372 , time: 0.025165824
T1:: insert: 0.8398303 , time: 0.025165824
T3:: remove: 0.51703525 , time: 0.025165824
T2:: insert: 0.20502383 , time: 0.025165824
T3:: remove: 0.5547912 , time: 0.025165824
T1:: insert: 0.6284658 , time: 0.025165824
T2:: insert: 0.95154196 , time: 0.025690112
T3:: remove: 0.6445188 , time: 0.025690112
T2:: insert: 0.4057389 , time: 0.025690112
T1:: insert: 0.17085648 , time: 0.025690112
T3:: remove: 0.84066206 , time: 0.025690112
T2:: insert: 0.7577722 , time: 0.0262144
T1:: insert: 0.9080172 , time: 0.0262144
T3:: remove: 0.4923948 , time: 0.0262144
T2:: insert: 0.645573 , time: 0.0262144
Iterator:: 0.03174323 , 0.062417984 , 0.13544744 , 0.14908475 , 0.17085648 , 0.17915422 , 0.20502383 , 0.20783806 , 0.24857175 , 0.39387804 , 0.40112948 , 0.4057389 , 0.41012543 , 0.4176113 , 0.43320882 , 0.453224 , 0.517144 , 0.6187797 , 0.61949444 , 0.6284658 , 0.645573 , 0.70773053 , 0.73439944 , 0.7577722 , 0.77880436 , 0.78259945 , 0.8398303 , 0.8757983 , 0.9080172 , 0.92979777 , 0.9298485 , 0.95154196 , 0.959445
T1:: insert: 0.90473837 , time: 0.0262144
T3:: remove: 0.9762572 , time: 0.026738688
T2:: insert: 0.8151017 , time: 0.026738688
T1:: insert: 0.029798925 , time: 0.026738688
T3:: remove: 0.73439944 , time: 0.026738688
T2:: insert: 0.71714365 , time: 0.026738688
T1:: insert: 0.4882633 , time: 0.027262976
